"index","label","query","numeric_output","data_status","row_count","category","remark"
"26","Query 26","Show two wheeler registrations at TN-01 RTO during April 2025.","","missing","0","data_missing","No verified numeric result: the exact dashboard slice is missing. Do not treat the displayed zero as a confirmed zero."
"27","Query 27","Show BS VI registrations at UP-16 RTO during May 2025.","10833","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"28","Query 28","Show BS IV CNG three wheeler registrations in Gujarat during June 2025.","","fetch_failed","0","scrape_failed","Official source did not return the requested monthly values. Command failed: C:\Program Files\nodejs\node.exe scripts/vahan-scraper.mjs --mode scrape --no-persist --emit-rows-json --states Gujarat --years 2025 --months 6 --fuels CNG ONLY --vehicle-categories THREE WHEELER(NT),THREE WHEELER(T) --norms BHARAT STAGE IV [scraper] direct attempt 1/3 failed for 2025 Gujarat All RTOs: Public dashboard returned no monthly values for CNG ONLY. [scraper] direct attempt 2/3 failed for 2025 Gujarat All RTOs: Public dashboard returned no monthly values for CNG ONLY. [scraper] direct attempt 3/3 failed for 2025 Gujarat All RTOs: Public dashboard returned no monthly values for CNG ONLY. Failed: 2025 Gujarat All RTOs: Public dashboard returned no monthly values for CNG ONLY. Error: 1 scrape item(s) failed. See data\vahan\vahan_fuel_monthly_errors.jsonl at scrape (file:///C:/Users/amogh/Desktop/BHAIYA/Vahan%20EY/scripts/vahan-scraper.mjs:1937:13) at async main (file:///C:/Users/amogh/Desktop/BHAIYA/Vahan%20EY/scripts/vahan-scraper.mjs:2080:9)"
"29","Query 29","Show E20 petrol motor car registrations in Maharashtra during July 2025.","7557","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"30","Query 30","Show PHEV motor car registrations in Karnataka during August 2025.","","fetch_failed","0","scrape_failed","Official source did not return the requested monthly values. Command failed: C:\Program Files\nodejs\node.exe scripts/vahan-scraper.mjs --mode scrape --no-persist --emit-rows-json --states Karnataka --years 2025 --months 8 --fuels PLUG-IN HYBRID EV --vehicle-classes MOTOR CAR Failed: 2025 Karnataka All RTOs: Could not find month 8 for fuel ""PLUG-IN HYBRID EV"" Error: 1 scrape item(s) failed. See data\vahan\vahan_fuel_monthly_errors.jsonl at scrape (file:///C:/Users/amogh/Desktop/BHAIYA/Vahan%20EY/scripts/vahan-scraper.mjs:1937:13) at async main (file:///C:/Users/amogh/Desktop/BHAIYA/Vahan%20EY/scripts/vahan-scraper.mjs:2080:9)"
"31","Query 31","BS VI, DIESEL; MOTOR CAR registrations in DELHI!!! during January 2025.","1047","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"32","Query 32","Vehicle registrations at MH-12 in January 2025.","29588","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"33","Query 33","B.O.V. registrations in Maharashtra in January 2025.","22231","live","2","pass","Verified numeric result from a completed official Public Dashboard refresh."
"34","Query 34","Vehicle registrations in Delhi in 2025-01.","75036","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"35","Query 35","Show petorl registrations in Maharashtra in January 2025.","184859","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"36","Query 36","Show electirc vehicle registrations in Maharashtra in January 2025.","22231","live","2","pass","Verified numeric result from a completed official Public Dashboard refresh."
"37","Query 37","Show petorl motar car registrations in Maharastra in January 2025.","18720","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"38","Query 38","For Q1 2025, show Karnataka battery-electric two-wheelers.","41540","live","6","pass","Verified numeric result from a completed official Public Dashboard refresh."
"39","Query 39","How many BS4 LMV registrations used LPG in Rajasthan in Jul 2024?","","fetch_failed","0","scrape_failed","Official source did not return the requested monthly values. Command failed: C:\Program Files\nodejs\node.exe scripts/vahan-scraper.mjs --mode scrape --no-persist --emit-rows-json --states Rajasthan --years 2024 --months 7 --fuels LPG ONLY,PETROL(E20)/LPG,PETROL/LPG --vehicle-categories LIGHT MOTOR VEHICLE --norms BHARAT STAGE IV [scraper] direct attempt 1/3 failed for 2024 Rajasthan All RTOs: Public dashboard returned no monthly values for LPG ONLY. [scraper] direct attempt 2/3 failed for 2024 Rajasthan All RTOs: Public dashboard returned no monthly values for LPG ONLY. [scraper] direct attempt 3/3 failed for 2024 Rajasthan All RTOs: Public dashboard returned no monthly values for LPG ONLY. Failed: 2024 Rajasthan All RTOs: Public dashboard returned no monthly values for LPG ONLY. Error: 1 scrape item(s) failed. See data\vahan\vahan_fuel_monthly_errors.jsonl at scrape (file:///C:/Users/amogh/Desktop/BHAIYA/Vahan%20EY/scripts/vahan-scraper.mjs:1937:13) at async main (file:///C:/Users/amogh/Desktop/BHAIYA/Vahan%20EY/scripts/vahan-scraper.mjs:2080:9)"
"40","Query 40","Delhi’s EV registration count in Jan 2025.","8570","live","2","pass","Verified numeric result from a completed official Public Dashboard refresh."
"41","Query 41","BS VI diesel motor cars in Delhi during November 2025.","866","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"42","Query 42","How many Delhi diesel motor cars were registered in Nov 2025 with BS VI norm?","866","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"43","Query 43","EV two-wheeler registrations in Karnataka from January to March 2025.","41540","live","6","pass","Verified numeric result from a completed official Public Dashboard refresh."
"44","Query 44","Show vehicals registrations in Maharashtra in January 2025.","289682","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"45","Query 45","Show motar car registrations in Maharashtra in January 2025.","53382","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"46","Query 46","Show light motor vehicl registrations in Maharashtra in January 2025.","65810","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"47","Query 47","Show BS-6 vehicle registrations in Delhi in January 2025.","66459","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"48","Query 48","Show battery-only road registrations around the garden city in January 2025.","","","0","api_server_error","Not a safely supported single-total query. I could not safely map that wording to one supported registration-total query. Please rephrase it with an exact state or RTO, month, and dashboard filter. Try: EV registrations in Maharashtra from January to March 2026."
"49","Query 49","Show clean-drive passenger registrations for the Pune office in the first month of 2025.","","","0","api_server_error","Not a safely supported single-total query. I could not safely map that wording to one supported registration-total query. Please rephrase it with an exact state or RTO, month, and dashboard filter. Try: EV registrations in Maharashtra from January to March 2026."
"50","Query 50","Give the plug car count for Karnataka at the close of Q1 2025.","","","0","api_server_error","Not a safely supported single-total query. I could not safely map that wording to one supported registration-total query. Please rephrase it with an exact state or RTO, month, and dashboard filter. Try: EV registrations in Maharashtra from January to March 2026."
"51","Query 51","Show diesel registrations in Maharashtra from December 2024 to January 2025.","62779","live","2","pass","Verified numeric result from a completed official Public Dashboard refresh."
"52","Query 52","Show EV registrations in Maharashtra during FY 2024-25.","246270","live","24","pass","Verified numeric result from a completed official Public Dashboard refresh."
"53","Query 53","Show petrol motor car registrations in Delhi from October 2025 to February 2026.","12449","live","5","pass","Verified numeric result from a completed official Public Dashboard refresh."
"54","Query 54","Show CNG bus registrations in Uttar Pradesh from March 2024 to April 2025.","1871","live","14","pass","Verified numeric result from a completed official Public Dashboard refresh."
"55","Query 55","Show BS VI registrations at MH-12 RTO from December 2025 to January 2026.","51718","live","2","pass","Verified numeric result from a completed official Public Dashboard refresh."
"56","Query 56","Show non-EV registrations in Maharashtra in January 2025.","289682","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"57","Query 57","Show vehicle registrations excluding BS IV vehicles in Maharashtra in February 2025.","","missing","0","data_missing","No verified numeric result: the exact dashboard slice is missing. Do not treat the displayed zero as a confirmed zero."
"58","Query 58","Show vehicle registrations excluding petrol in Maharashtra in March 2025.","266954","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"59","Query 59","Show vehicle registrations excluding buses in Maharashtra in April 2025.","","missing","0","data_missing","No verified numeric result: the exact dashboard slice is missing. Do not treat the displayed zero as a confirmed zero."
"60","Query 60","Show EV registrations excluding PURE EV in Maharashtra in May 2025.","2456","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"61","Query 61","Show registrations excluding hybrid fuels in Maharashtra in June 2025.","218544","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"62","Query 62","Show vehicle registrations excluding two-wheeler transport in Maharashtra in July 2025.","","missing","0","data_missing","No verified numeric result: the exact dashboard slice is missing. Do not treat the displayed zero as a confirmed zero."
"63","Query 63","Show BS VI registrations excluding BS IV vehicles in Maharashtra in August 2025.","","missing","0","data_missing","No verified numeric result: the exact dashboard slice is missing. Do not treat the displayed zero as a confirmed zero."
"64","Query 64","Show diesel registrations excluding petrol in Maharashtra in September 2025.","25710","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"65","Query 65","Show diesel registrations in January 2025.","280550","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"66","Query 66","Show vehicle registrations during February 2025.","1996508","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"67","Query 67","Show petrol motor car registrations in March 2025.","150965","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"68","Query 68","Show BS VI bus registrations in April 2025.","7086","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"69","Query 69","Show CNG two wheeler registrations in May 2025.","3645","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
"70","Query 70","Show pure EV e-rickshaw registrations in June 2025.","13997","live","1","pass","Verified numeric result from a completed official Public Dashboard refresh."
